account_age_days,orders_count,total_spent,avg_order_value,days_since_last_order,favorites_count,churned
98,7,430.78,61.54,7,4,0
847,3,253.59,84.53,89,7,0
717,4,289.48,72.37,141,6,1
481,3,103.62,34.54,152,1,1
474,5,145.7,29.14,79,2,1
940,3,385.14,128.38,14,4,0
95,3,171.84,57.28,95,2,0
763,7,825.37,117.91,134,4,0
221,3,138.39,46.13,82,2,0
104,3,407.55,135.85,104,2,1
576,3,96.09,32.03,57,2,1
1068,11,207.79,18.89,148,4,0
805,0,0.0,63.25,805,2,1
833,6,150.18,25.03,78,2,1
785,7,643.51,91.93,18,1,0
860,5,800.25,160.05,63,4,0
562,2,66.96,33.48,139,3,1
141,5,237.5,47.5,141,3,0
919,5,243.5,48.7,83,5,0
493,3,146.64,48.88,53,5,1
548,5,301.75,60.35,138,1,0
406,2,241.38,120.69,169,2,0
200,3,195.48,65.16,26,2,0
1014,3,185.13,61.71,58,4,0
856,3,66.57,22.19,144,1,0
705,7,193.62,27.66,23,3,0
441,4,101.6,25.4,176,2,1
901,2,91.48,45.74,43,1,1
597,6,462.06,77.01,88,0,1
486,3,92.7,30.9,94,2,1
493,3,475.2,158.4,68,2,1
249,3,78.51,26.17,24,7,0
101,4,284.76,71.19,6,3,0
607,4,931.04,232.76,69,3,0
972,9,584.19,64.91,49,1,0
70,2,153.16,76.58,70,3,0
939,6,428.82,71.47,120,0,1
906,8,253.84,31.73,17,3,0
303,4,243.88,60.97,136,7,1
692,7,66.57,9.51,111,3,1
181,4,206.4,51.6,23,3,0
830,4,463.12,115.78,73,0,0
767,2,355.72,177.86,133,0,1
388,3,124.14,41.38,117,1,1
75,5,782.0,156.4,75,2,0
1062,3,98.31,32.77,89,3,1
488,8,667.52,83.44,125,4,0
978,6,509.22,84.87,158,5,1
742,3,118.89,39.63,31,3,0
852,1,26.44,26.44,73,3,1
832,2,81.78,40.89,153,1,1
213,6,426.06,71.01,92,4,0
399,5,612.3,122.46,32,6,0
511,3,446.22,148.74,24,5,0
545,4,278.12,69.53,131,3,1
48,5,475.25,95.05,48,5,0
598,6,649.26,108.21,143,4,0
169,4,164.72,41.18,21,3,0
814,2,187.04,93.52,110,3,1
748,6,303.0,50.5,105,2,0
1010,7,318.92,45.56,83,3,0
815,7,265.37,37.91,77,2,1
402,2,80.54,40.27,49,2,0
1059,3,207.06,69.02,142,2,1
450,3,168.33,56.11,60,3,0
357,5,285.35,57.07,76,3,1
991,7,351.33,50.19,155,4,0
406,8,210.32,26.29,114,5,1
84,8,370.72,46.34,7,7,0
514,5,150.75,30.15,11,3,0
871,3,146.64,48.88,97,3,1
208,3,131.1,43.7,128,4,0
507,2,165.46,82.73,85,5,1
143,3,317.31,105.77,143,4,1
752,1,56.09,56.09,154,4,1
521,1,95.2,95.2,81,5,1
362,4,124.44,31.11,43,2,0
249,3,718.26,239.42,2,2,0
618,3,380.22,126.74,7,1,0
733,6,189.54,31.59,109,4,0
1029,3,162.6,54.2,61,5,1
479,2,211.5,105.75,27,3,0
176,6,140.82,23.47,14,4,0
911,3,30.48,10.16,85,9,0
689,3,198.57,66.19,106,6,1
767,4,108.96,27.24,6,2,0
107,2,88.1,44.05,76,4,1
342,7,369.39,52.77,80,5,0
841,4,184.6,46.15,11,3,0
911,4,62.28,15.57,158,3,1
477,4,281.4,70.35,42,1,0
881,4,716.56,179.14,25,3,0
921,6,362.88,60.48,25,3,0
424,3,586.41,195.47,90,1,0
983,2,21.72,10.86,128,4,1
316,5,184.15,36.83,46,4,1
263,6,976.56,162.76,138,6,0
747,2,72.24,36.12,47,1,0
697,1,73.42,73.42,34,2,1
153,3,183.9,61.3,116,0,1
912,1,51.62,51.62,140,3,1
219,3,319.32,106.44,135,3,0
881,0,0.0,62.66,881,2,1
9,4,383.16,95.79,9,1,0
872,2,330.28,165.14,153,5,1
861,3,325.05,108.35,51,0,0
854,2,61.14,30.57,113,3,0
728,7,1534.05,219.15,13,5,0
516,3,259.56,86.52,15,4,0
772,1,54.78,54.78,80,1,1
304,6,161.22,26.87,127,1,0
855,2,130.2,65.1,106,7,1
608,3,116.25,38.75,30,2,1
503,6,133.14,22.19,134,5,1
554,5,143.5,28.7,110,3,0
623,1,19.41,19.41,137,6,1
41,3,39.45,13.15,41,6,0
153,4,198.44,49.61,153,3,0
269,5,290.05,58.01,66,6,0
126,2,159.36,79.68,6,1,0
481,4,885.52,221.38,108,4,0
732,5,425.1,85.02,177,2,1
716,4,177.72,44.43,18,5,0
516,2,96.48,48.24,175,1,1
936,2,141.74,70.87,139,2,1
619,1,29.74,29.74,7,4,1
87,3,280.77,93.59,87,2,0
837,2,101.88,50.94,57,4,1
629,6,617.22,102.87,118,1,0
695,9,601.47,66.83,138,4,0
619,4,218.4,54.6,68,2,0
606,5,598.65,119.73,87,4,0
100,1,21.26,21.26,8,5,0
612,4,310.2,77.55,1,0,0
870,4,594.2,148.55,137,2,1
333,3,205.89,68.63,64,5,0
660,4,242.32,60.58,159,5,1
34,6,626.1,104.35,34,2,0
381,4,177.0,44.25,72,2,0
478,3,157.47,52.49,159,4,1
1076,3,80.79,26.93,11,0,1
235,4,170.2,42.55,150,3,1
303,4,359.52,89.88,14,4,0
447,6,320.04,53.34,171,4,1
1086,4,137.24,34.31,102,3,1
934,4,491.04,122.76,85,0,0
38,2,226.86,113.43,38,2,0
256,3,602.55,200.85,144,0,0
899,5,185.7,37.14,52,3,0
64,2,225.78,112.89,19,4,0
937,3,265.44,88.48,175,5,1
308,4,284.12,71.03,94,2,1
1004,7,1077.86,153.98,52,4,0
322,4,308.84,77.21,165,4,1
476,5,196.9,39.38,8,3,0
725,5,250.25,50.05,151,2,0
139,5,101.5,20.3,4,4,0
610,3,260.28,86.76,119,4,1
553,6,915.6,152.6,7,4,0
858,2,155.46,77.73,27,5,0
1090,2,142.26,71.13,59,2,1
727,6,615.66,102.61,33,2,0
448,5,466.35,93.27,9,4,0
445,3,373.62,124.54,123,1,1
458,4,249.72,62.43,138,1,1
891,2,164.02,82.01,59,4,1
352,3,181.2,60.4,126,2,0
183,5,132.7,26.54,60,7,0
366,5,153.7,30.74,39,3,1
25,1,41.18,41.18,25,3,0
117,3,77.67,25.89,95,4,0
99,3,209.04,69.68,4,2,0
845,2,213.12,106.56,126,3,0
791,6,267.48,44.58,71,3,0
763,3,52.5,17.5,14,4,1
506,5,192.25,38.45,43,2,0
785,3,160.77,53.59,58,2,0
177,4,408.84,102.21,5,3,0
986,4,263.0,65.75,132,3,1
549,3,196.98,65.66,39,1,1
1027,4,337.16,84.29,29,4,0
167,0,0.0,111.62,167,5,1
545,4,597.12,149.28,129,2,1
762,8,357.52,44.69,91,3,0
543,7,437.08,62.44,147,3,1
489,2,89.26,44.63,79,6,1
